id,name,vital-dog-breed-group,vital-height,vital-weight,vital-life-span,trait-adapts-well-to-apartment-living,trait-good-for-novice-owners,trait-sensitivity-level,trait-tolerates-being-alone,trait-tolerates-cold-climates,trait-tolerates-hot-climates,trait-affectionate-with-family,trait-compatible-with-kids,trait-dog-friendly,trait-friendly-toward-strangers,trait-amount-of-shedding,trait-drooling-potential,trait-easy-to-groom,trait-general-health,trait-potential-for-weight-gain,trait-size,trait-easy-to-train,trait-intelligence-level,trait-potential-for-mouthiness,trait-predatory-tendencies,trait-tendency-to-bark-or-howl,trait-wanderlust-level,trait-energy-level,trait-intensity-level-vigor,trait-need-for-exercise,trait-potential-for-playfulness
chihuahua,Chihuahua,companion-dogs,6 inches to 9 inches tall at the shoulder,3 to 6 pounds,10 to 18 years,5,4,5,1,1,2,5,5,2,2,2,1,5,2,3,1,4,4,3,3,3,2,3,2,1,4
chilier,Chilier,mixed-breeds,8 to 12 inches,6 to 12 pounds,12 to 16 years,4,2,4,2,2,2,4,4,4,3,2,3,4,4,3,2,2,4,3,3,3,2,4,4,3,4
chinese-crested,Chinese Crested,companion-dogs,11 to 13 inches tall at the shoulder,Up to 12 pounds,10 to 14 years,5,3,5,1,1,3,4,5,4,4,2,1,2,5,2,2,4,3,4,3,3,1,2,1,2,3
chinese-shar-pei,Chinese Shar-Pei,working-dogs,18 to 20 inches tall at the shoulder,40 to 55 pounds,8 to 12 years,4,2,2,4,2,1,2,2,1,2,2,2,5,1,4,3,3,2,5,2,5,2,2,1,3,1
chinook,Chinook,working-dogs,21 to 27 inches tall at the shoulder,55 to 70 pounds,12 to 15 years,4,1,5,1,5,4,5,5,5,4,5,1,2,4,3,4,4,5,3,2,2,2,3,3,3,4
chion,Chion,mixed-breeds,5 to 11 inches,4 to 11 pounds,10 to 15 years,4,3,3,2,2,3,5,3,3,2,2,2,3,4,4,2,3,3,4,3,4,1,4,3,2,4
chipin,Chipin,mixed-breeds,8 to 12 inches,5 to 15 pounds,10 to 14 years,5,4,5,1,1,2,5,4,2,2,2,1,5,3,4,1,4,3,2,3,2,3,4,3,2,5
chiweenie,Chiweenie,mixed-breeds,6 to 10 inches,5 to 12 pounds,12 to 16 years,5,3,4,2,1,4,4,2,3,2,1,1,5,3,4,1,2,4,2,3,5,2,4,2,4,5
chorkie,Chorkie,mixed-breeds,6 to 9 inches,8 to 15 pounds,12 to 15 years,5,5,5,1,1,2,4,3,3,2,2,1,3,3,2,1,3,3,2,2,4,2,4,3,3,5
chow-chow,Chow Chow,working-dogs,17 to 20 inches tall at the shoulder,40 to 70 pounds,12 to 15 years,3,2,2,5,5,2,2,1,1,1,1,3,1,2,4,4,2,1,5,2,1,2,2,2,2,1
chow-shepherd,Chow Shepherd,mixed-breeds,22 to 26 inches,45 to 90 pounds,12 to 15 years,3,2,4,2,5,4,3,3,2,2,5,2,1,3,2,4,3,3,3,3,2,3,5,4,5,4
chug,Chug,mixed-breeds,10 to 14 inches,10 to 20 pounds,10 to 13,5,3,3,3,2,3,5,4,3,3,4,2,4,4,4,1,3,3,3,2,2,2,4,3,3,4
chusky,Chusky,mixed-breeds,18 to 23 inches,40 to 65 pounds,10 to 13 years,2,2,3,3,5,2,4,4,3,3,5,2,2,3,3,3,3,4,3,3,4,2,4,3,4,4
cirneco-delletna,Cirneco dell’Etna,companion-dogs,17 to 20 inches,17 to 26 pounds,12 to 14 years,4,3,3,3,3,3,5,5,4,3,2,1,4,5,2,3,3,3,2,4,3,1,4,2,3,4
clumber-spaniel,Clumber Spaniel,sporting-dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",55 to 85 pounds,12 to 12 years,5,5,4,2,5,2,5,3,4,3,5,5,1,2,5,3,4,3,5,5,1,4,3,1,2,5
cockalier,Cockalier,mixed-breeds,12 to 15 inches,10 to 28 pounds,12 to 15 years,4,4,4,2,2,2,5,5,4,3,2,1,4,4,3,2,4,4,2,3,2,2,4,2,4,5
cockapoo,Cockapoo,hybrids,From under 10 to over 15 inches tall at the shoulder,From under 6 to over 19 pounds,12 to 15 years,4,5,4,3,4,4,5,4,5,4,1,1,3,2,3,2,4,4,2,3,2,3,3,3,3,5
cocker-spaniel,Cocker Spaniel,sporting-dogs,"1 foot, 2 inches to 1 foot, 3 inches tall at the shoulder",24 to 28 pounds,12 to 15 years,5,3,5,1,4,3,5,3,4,3,3,1,1,4,4,2,5,4,4,5,3,4,4,2,3,4
collie,Collie,herding-dogs,22 to 26 inches all at the shoulder,50 to 70 pounds,10 to 14 years,3,4,5,2,4,3,5,5,4,4,5,1,2,3,3,3,4,4,3,4,4,1,3,2,3,4
corgi-inu,Corgi Inu,mixed-breeds,9 to 15 inches,17 to 27 pounds,12 to 15 years,4,3,3,3,4,2,3,3,3,2,5,2,2,3,3,2,4,4,3,3,3,2,4,3,4,4
corgidor,Corgidor,mixed-breeds,12 to 23 inches,40 to 55 pounds,10 to 15 years,3,2,4,3,3,3,5,4,3,4,5,2,4,4,4,3,4,5,3,3,2,3,5,3,4,5
corman-shepherd,Corman Shepherd,mixed-breeds,12 to 15 inches,20 to 70 pounds,10 to 15 years,2,2,3,3,4,3,4,4,4,3,5,2,3,3,4,3,4,5,3,3,3,2,4,3,4,4
coton-de-tulear,Coton de Tulear,companion-dogs,8 to 12 inches tall at the shoulder,8 to 13 pounds,Starts at 14 years,5,4,5,1,3,3,5,5,5,5,1,1,2,5,3,1,3,4,3,1,2,3,3,2,3,5
croatian-sheepdog,Croatian Sheepdog,herding-dogs,16 to 21 inches,29 to 45 pounds,12 to 14 years,3,2,3,3,4,2,4,3,2,2,5,3,2,4,3,3,3,4,4,3,4,3,4,4,4,4
curly-coated-retriever,Curly-Coated Retriever,sporting-dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",65 to 100 pounds,9 to 12 years,1,3,3,3,4,4,5,5,4,3,3,2,3,2,3,3,4,5,5,5,3,4,5,3,4,5
dachsador,Dachsador,mixed-breeds,15 to 25 inches,30 to 40 pounds,12 to 14 years,4,2,3,2,3,3,4,4,3,4,2,1,4,4,4,2,3,4,2,4,2,4,4,3,4,4
dachshund,Dachshund,hounds,8 inches to 9 inches tall at the shoulder,16 to 32 pounds,12 to 15 years,5,4,4,3,1,3,4,5,3,1,3,1,3,2,5,1,2,4,4,5,5,5,3,3,3,4
dalmatian,Dalmatian,companion-dogs,19 to 24 inches tall at the shoulder,48 to 55 pounds,13 to 16 years,2,3,4,3,3,4,5,4,4,3,5,1,5,4,4,3,4,4,2,2,2,4,5,4,5,4
dandie-dinmont-terrier,Dandie Dinmont Terrier,terriers,8 to 11 inches tall at the shoulder,18 to 24 pounds,12 to 15 years,4,4,3,2,3,3,5,4,3,3,3,1,2,3,4,1,2,3,3,4,2,3,3,3,2,4
daniff,Daniff,mixed-breeds,27 to 33 inches,115 to 190 pounds,8 to 12 years,2,2,3,1,4,3,5,4,4,3,2,4,1,3,3,5,4,4,2,2,1,2,3,4,4,4
danish-swedish-farmdog,Danish-Swedish Farmdog,working-dogs,12 to 15 inches,15 to 20 pounds,11 to 13 years,3,2,3,4,4,4,5,5,5,3,5,1,4,5,3,2,5,4,2,5,4,1,4,3,5,4
deutscher-wachtelhund,Deutscher Wachtelhund,sporting-dogs,18 to 21 inches,40 to 55 pounds,12 to 14 years,3,3,2,2,4,3,5,4,4,3,3,2,3,5,2,4,4,4,3,4,3,2,4,3,4,4
doberdor,Doberdor,mixed-breeds,24 to 28 inches,60 to 100 pounds,10 to 14 years,1,1,3,2,2,4,3,3,3,1,1,2,4,4,4,5,1,4,3,4,4,4,5,4,5,4
doberman-pinscher,Doberman Pinscher,working-dogs,24 to 28 inches tall at the shoulder,60 to 80 pounds,10 to 13 years,3,3,5,2,1,4,5,3,1,3,4,4,5,1,3,4,5,5,2,1,1,2,3,3,3,5
docker,Docker,mixed-breeds,9 to 15 inches,20 to 30 Pounds,12 to 14 Years,3,2,4,2,3,3,5,3,3,2,3,2,3,3,3,2,3,4,5,5,4,5,3,3,3,4
dogo-argentino,Dogo Argentino,sporting-dogs,23 to 27 inches,80 to 100 pounds,9 to 15 years,1,1,3,2,2,4,4,2,2,2,1,3,4,3,2,4,2,3,2,5,2,4,4,4,4,3
dogue-de-bordeaux,Dogue de Bordeaux,working-dogs,23 to 27 inches tall at the shoulder,Starts at 100 pounds,8 to 12 years,5,1,4,2,3,2,5,5,1,1,3,5,5,2,4,4,2,3,4,4,2,1,2,2,5,3
dorgi,Dorgi,mixed-breeds,9 to12 inches,15 to 28 pounds,12 to 15 years,4,4,3,1,4,3,4,4,4,3,2,2,4,4,4,2,3,4,4,3,3,3,4,4,4,5
dorkie,Dorkie,mixed-breeds,5 to 10 inches,5 to 12 pounds,13 to 16 years,5,4,4,2,2,2,4,4,4,4,3,1,2,2,2,1,3,4,2,3,2,2,2,2,2,3
doxiepoo,Doxiepoo,mixed-breeds,8 to 23 inches,5 to 30 pounds,10 to 15 years,5,3,4,2,3,3,5,2,1,3,3,,3,2,4,2,3,5,3,4,5,4,4,4,4,5
doxle,Doxle,mixed-breeds,5 to 15 inches,11 to 30 pounds,12 to 14 years,2,4,4,1,2,4,5,4,5,4,5,1,4,4,4,2,3,4,3,5,5,5,5,4,5,5
drentsche-patrijshond,Drentsche Patrijshond,working-dogs,21 to 25 inches,40 to 60 pounds,11 to 14 years old,3,2,4,3,4,3,5,4,4,3,4,3,3,4,2,3,2,4,3,4,2,1,5,3,4,4
drever,Drever,hounds,12 to 16 inches,35 to 40 pounds,12 to 15 years,4,3,2,2,2,3,5,5,4,3,3,2,3,5,3,3,3,4,4,3,4,2,5,3,4,4
dutch-shepherd,Dutch Shepherd,herding-dogs,21 to 25 inches,50 to 70 pounds,12 to 15 years,3,3,3,2,4,4,4,4,4,2,4,2,3,4,2,3,5,4,2,3,2,2,4,3,4,4
english-cocker-spaniel,English Cocker Spaniel,sporting-dogs,"1 foot, 3 inches to 1 foot, 5 inches tall at the shoulder",26 to 34 pounds,12 to 14 years,5,4,5,1,4,3,5,5,5,5,3,1,3,4,5,2,4,5,3,5,4,4,5,3,4,5
english-foxhound,English Foxhound,hounds,25 to 27 inches tall at the shoulder,55 to 75 pounds,10 to 13 years,1,2,3,4,3,3,4,4,5,3,3,1,5,4,2,3,3,3,4,5,4,5,5,4,5,5
english-setter,English Setter,sporting-dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",45 to 80 pounds,11 to 15 years,1,3,4,1,4,3,5,5,5,5,3,2,3,3,5,3,3,5,4,5,4,5,4,2,5,5
english-springer-spaniel,English Springer Spaniel,sporting-dogs,"1 foot, 6 inches to 1 foot, 10 inches tall at the shoulder",45 to 55 pounds,9 to 15 years,1,3,4,1,3,4,5,5,5,4,3,1,2,3,3,3,5,5,3,5,3,4,5,3,5,5
english-toy-spaniel,English Toy Spaniel,companion-dogs,10 to 11 inches tall at the shoulder,8 to 14 pounds,10 to 12 years,4,4,4,1,2,2,5,1,4,4,5,2,4,2,3,2,3,3,4,4,3,2,3,3,2,4
entlebucher-mountain-dog,Entlebucher Mountain Dog,herding-dogs,16 to 20 inches tall at the shoulder,45 to 65 pounds,10 to 13 years,1,2,4,3,4,2,5,5,3,2,3,1,5,3,3,3,3,4,4,4,5,3,5,4,5,5
estrela-mountain-dog,Estrela Mountain Dog,herding-dogs,24 to 30 inches,75 to 130 pounds,11 to 15 years,1,3,2,3,4,3,5,5,3,2,4,3,2,4,3,4,4,5,2,1,3,1,3,3,3,3
eurasier,Eurasier,companion-dogs,20 to 24 Inches,40 to 71 lbs,12 to 14 years,4,3,2,1,4,3,3,5,4,2,4,3,3,4,2,4,4,4,2,1,2,1,3,2,3,3
field-spaniel,Field Spaniel,sporting-dogs,"1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder",37 to 45 pounds,10 to 12 years,1,3,4,1,3,4,5,5,4,4,3,1,4,3,4,2,5,5,3,4,2,5,5,3,5,5
fila-brasileiro,Fila Brasileiro,working-dogs,24 to 30 inches,90 to 180 pounds,9 to 12 years,1,1,3,3,2,3,3,3,2,1,2,3,4,3,4,5,2,4,3,5,3,3,4,4,4,2
finnish-lapphund,Finnish Lapphund,herding-dogs,17 to 20 inches tall at the shoulder,33 to 53 pounds,12 to 15 years,4,4,4,2,5,2,5,5,5,4,3,1,4,4,4,3,5,5,4,4,3,4,5,5,4,5
finnish-spitz,Finnish Spitz,sporting-dogs,15 to 20 inches tall at the shoulder,20 to 35 pounds,12 to 15 years,3,3,3,1,5,3,5,5,5,3,4,1,2,4,3,3,3,4,3,3,5,4,5,4,5,5
flat-coated-retriever,Flat-Coated Retriever,sporting-dogs,"1 foot, 10 inches to 2 feet tall at the shoulder",55 to 70 pounds,10 to 12 years,1,2,5,1,4,4,5,5,5,5,3,2,4,4,4,3,4,5,3,3,4,4,5,4,5,5
fox-terrier,Fox Terrier,terriers,Up to 15 inches tall at the shoulder,15 to 19 pounds,10 to 15 years,3,3,3,3,3,4,4,4,3,3,2,1,2,4,2,2,5,5,3,5,3,3,5,5,5,5
french-bulldog,French Bulldog,companion-dogs,11 to 12 inches tall at the shoulder,16 to 28 pounds,11 to 14 years,5,5,3,1,2,1,5,4,4,4,3,1,5,2,4,2,4,3,3,2,3,2,3,4,2,5
french-bullhuahua,French Bullhuahua,mixed-breeds,6 to 12 inches,10 to 30 pounds,10 to 15 years,4,3,3,2,2,4,4,3,2,3,3,2,4,4,5,1,3,3,4,3,4,2,3,3,3,4
french-spaniel,French Spaniel,sporting-dogs,21 to 24 inches.,45 to 60 pounds.,10 to 12 years.,2,4,4,3,4,2,5,4,4,4,3,2,3,4,2,3,4,4,2,3,2,2,5,3,4,4
frenchton,Frenchton,mixed-breeds,11 to 14 inches,15 to 25 pounds,12 to 15 years,5,5,3,2,3,3,5,5,5,5,4,3,5,4,2,2,4,4,2,2,3,3,3,3,3,5
frengle,Frengle,mixed-breeds,8 to 15 inches,18 to 30 pounds,10 to 15 years,4,4,4,3,2,2,5,5,4,4,3,1,5,4,4,3,3,4,3,3,2,3,4,3,4,5
german-longhaired-pointer,German Longhaired Pointer,sporting-dogs,23 to 28 inches,60 to 71 pounds,11 to 14 years,2,2,3,3,3,2,5,4,4,4,2,3,5,4,4,4,4,4,2,3,3,4,5,3,5,3
german-pinscher,German Pinscher,working-dogs,17 to 20 inches tall at the shoulder,25 to 45 pounds,12 to 14 years,3,3,4,3,3,4,5,3,2,2,3,1,5,4,3,3,4,5,3,5,3,4,5,3,5,5
german-shepherd-dog,German Shepherd Dog,herding-dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",75 to 95 pounds,10 to 14 years,3,2,5,2,4,3,5,5,2,4,5,1,5,4,2,4,5,5,5,4,4,2,5,5,5,5
german-shepherd-pit-bull,German Shepherd Pit Bull,mixed-breeds,17 to 26 inches,30 to 90 pounds,10 to 12 years,1,1,4,1,3,3,5,5,4,4,5,1,5,4,4,4,5,5,5,4,4,3,5,5,5,5
german-shepherd-rottweiler-mix,German Shepherd Rottweiler Mix,mixed-breeds,22 to 28 inches,75 to 115 pounds,9 to 13 years,3,4,3,3,4,2,4,4,3,3,5,3,3,3,4,4,3,4,3,3,3,2,4,3,4,4
german-sheprador,German Sheprador,mixed-breeds,20 to 27 inches,60 to 95 pounds,10 to 12 years,2,1,5,2,4,4,5,5,4,4,5,2,5,3,3,4,5,5,5,3,2,2,5,5,5,5
german-shorthaired-pointer,German Shorthaired Pointer,sporting-dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",45 to 70 pounds,12 to 15 years,1,2,4,1,2,4,5,5,4,3,2,2,5,3,3,3,5,5,4,5,3,5,5,3,5,5
german-spitz,German Spitz,companion-dogs,12 to 15 inches,21 to 29 pounds,13 to 15 years,4,2,3,3,3,2,5,4,3,3,4,1,2,4,4,1,2,4,4,5,4,2,5,3,4,4
german-wirehaired-pointer,German Wirehaired Pointer,sporting-dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",60 to 70 pounds,12 to 14 years,2,3,4,2,3,4,5,3,3,2,2,2,4,4,3,4,4,5,4,4,3,5,5,4,5,5
giant-schnauzer,Giant Schnauzer,working-dogs,23 to 27 inches tall at the shoulder,55 to 80 pounds,10 to 12 years,1,1,4,2,4,2,5,3,3,2,4,1,2,4,3,4,5,4,3,4,4,4,5,2,5,5
glen-of-imaal-terrier,Glen of Imaal Terrier,terriers,12 to 14 inches tall at the shoulder,Up to 35 pounds,12 to 15 years,4,2,3,3,3,4,5,5,2,3,1,1,5,5,3,1,4,4,3,5,4,3,4,5,4,4
goberian,Goberian,mixed-breeds,20 to 24 inches,45 to 90 pounds,10 to 15 years,1,2,3,2,5,2,4,4,4,2,2,1,5,4,4,4,2,5,3,4,2,4,5,4,5,4
goldador,Goldador,hybrids,22 to 24 inches tall at the shoulder,60 to 80 pounds,10 to 15 years,2,4,3,4,5,4,5,5,5,5,3,2,4,4,3,4,4,5,2,1,1,4,5,5,5,5
golden-cocker-retriever,Golden Cocker Retriever,mixed-breeds,20 to 24 inches,30 to 45 pounds,12 to 15 years,1,4,4,1,2,4,5,4,4,3,4,1,4,4,4,3,4,4,2,2,3,4,5,2,4,5
golden-mountain-dog,Golden Mountain Dog,mixed-breeds,24 to 28 inches,75 to 120 pounds,9 to 15 years,1,2,2,2,5,1,5,5,4,3,4,4,2,3,4,5,4,4,2,2,3,4,4,2,5,5
golden-retriever,Golden Retriever,sporting-dogs,21 to 24 inches tall at the shoulder,55 to 75 pounds,10 to 12 years,2,3,5,1,3,3,5,5,5,5,5,4,2,2,5,3,5,5,5,3,3,2,5,2,5,5
golden-retriever-corgi,Golden Retriever Corgi,mixed-breeds,10 to 18 inches,30 to 75 pounds,10 to 13 years,3,4,3,3,3,3,5,5,4,4,4,3,3,3,4,3,4,4,3,2,3,2,4,3,3,5
golden-shepherd,Golden Shepherd,mixed-breeds,20 to 26 inches,55 to 85 pounds,10 to 14 years,2,2,5,1,5,4,5,5,3,5,5,2,2,3,3,5,5,5,5,3,3,2,5,3,5,5
goldendoodle,Goldendoodle,hybrids,20 to 24 inches tall at the shoulder,50 to 90 pounds,10 to 15 years,1,4,4,3,3,3,5,5,5,4,2,1,4,3,3,4,4,5,1,1,3,3,4,3,5,5
gollie,Gollie,mixed-breeds,22 to 26 inches,50 to 75 pounds,12 to 15 years,1,4,3,2,3,3,5,5,4,4,4,2,3,3,4,3,4,4,2,2,2,4,5,3,4,5
gordon-setter,Gordon Setter,sporting-dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",45 to 80 pounds,10 to 12 years,2,3,4,1,4,3,5,3,2,3,5,3,2,4,3,3,5,5,3,4,5,4,5,2,5,5
great-dane,Great Dane,working-dogs,26 to 34 inches tall at the shoulder,100 to 200 pounds,7 to 10 years,1,1,5,1,2,3,5,5,5,5,5,4,5,4,2,5,5,3,2,3,4,3,5,5,5,5
great-pyrenees,Great Pyrenees,working-dogs,25 to 32 inches tall at the shoulder,85 to 160 pounds,10 to 12 years,1,1,4,3,5,3,5,4,4,3,5,2,4,2,4,5,1,4,2,5,5,5,5,5,5,4
greater-swiss-mountain-dog,Greater Swiss Mountain Dog,working-dogs,23 to 28 inches tall at the shoulder,85 to 140 pounds,7 to 9 years,1,2,4,3,5,1,5,5,5,3,3,1,5,2,4,5,3,3,3,4,4,3,5,4,3,5
greyador,Greyador,mixed-breeds,21 to 27 inches,50 to 80 pounds,11 to 13 years,3,2,5,1,1,3,5,5,5,5,5,4,5,4,5,4,3,5,5,4,4,4,4,4,4,4
greyhound,Greyhound,hounds,"2 feet, 1 inch to 2 feet, 6 inches tall at the shoulder",50 to 85 pounds,12 to 15 years,4,2,5,1,1,5,5,5,4,5,4,5,5,4,5,4,5,5,4,5,2,5,5,3,5,4
hamiltonstovare,Hamiltonstovare,hounds,19 to 24 inches,40 to 75 pounds,14 to 17 years,3,2,4,3,3,3,5,4,3,3,1,1,4,4,3,3,3,4,2,5,3,2,5,3,4,4
hanoverian-scenthound,Hanoverian Scenthound,working-dogs,19 to 22 inches,80 to 100 pounds,12 to 14 years,2,1,4,3,3,3,5,5,4,3,2,1,4,4,3,4,2,4,2,4,3,2,4,3,4,4
harrier,Harrier,hounds,19 to 21 inches tall at the shoulder,45 to 60 pounds,10 to 12 years,1,3,2,3,3,4,4,5,5,5,3,1,5,5,3,3,2,4,3,4,4,5,5,4,5,5
havanese,Havanese,companion-dogs,8 to 11 inches tall at the shoulder,7 to 13 pounds,12 to 15 years,5,5,4,1,3,4,5,4,5,5,2,1,1,3,4,2,5,4,3,4,2,2,3,2,3,5
hokkaido,Hokkaido,working-dogs,18 to 22 Inches,45 to 65 Pounds,11 to 13 Years,3,2,2,3,5,2,4,4,3,3,4,2,1,5,3,3,3,4,3,4,3,3,3,2,3,3
horgi,Horgi,mixed-breeds,12 to 15 inches,20 to 50 pounds,12 to 15 years,2,2,4,2,4,3,5,5,4,5,4,2,3,3,3,2,4,4,4,4,3,3,4,3,4,4
hovawart,Hovawart,working-dogs,23 to 29 inches,55 to 110 pounds,10 to 14 years,1,2,3,2,4,3,4,4,2,2,3,1,4,4,3,4,2,4,2,2,2,2,4,4,4,4
huskita,Huskita,mixed-breeds,22 to 25 inches,50 to 75 pounds,10 to 13 years,2,1,4,1,5,3,5,2,2,3,4,3,1,4,3,4,2,3,3,4,5,5,4,4,5,5
huskydoodle,Huskydoodle,mixed-breeds,12 to 25 inches,40 to 60 pounds,10 to 14 years,2,2,3,2,4,3,4,4,4,3,3,2,3,4,4,3,3,5,3,4,2,2,5,4,5,4
ibizan-hound,Ibizan Hound,hounds,22 to 27 inches tall at the shoulder,45 to 50 pounds,10 to 14 years,5,3,4,2,1,4,5,5,5,4,3,1,5,4,1,3,3,4,3,5,2,5,5,3,5,5
icelandic-sheepdog,Icelandic Sheepdog,herding-dogs,16 to 18 inchestall at the shoulder,20 to 30 pounds,14 to 15 years,1,1,3,2,5,3,4,4,2,2,5,1,1,3,3,3,3,4,3,4,1,4,4,5,4,4
irish-red-and-white-setter,Irish Red And White Setter,sporting-dogs,22 to 26 inches tall at the shoulder,50 to 70 pounds,10 to 14 years,1,3,4,1,4,3,5,4,4,4,3,1,3,2,2,3,4,4,4,3,3,4,5,5,5,5
irish-setter,Irish Setter,sporting-dogs,"2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder",60 to 70 pounds,11 to 15 years,1,3,4,2,4,3,5,5,5,5,4,2,3,2,3,4,4,5,5,5,4,5,5,3,5,5
irish-terrier,Irish Terrier,terriers,18 to 20 inches tall at the shoulder,25 to 27 pounds,12 to 16 years,3,2,3,2,4,4,5,5,1,3,4,1,2,5,3,3,1,4,1,2,4,3,5,4,4,5
irish-water-spaniel,Irish Water Spaniel,sporting-dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",45 to 65 pounds,10 to 12 years,3,2,4,3,4,4,5,5,4,5,1,2,3,2,3,3,5,4,3,5,4,3,5,3,5,4
irish-wolfhound,Irish Wolfhound,hounds,32 to 35 inches tall at the shoulder,115 to 180 pounds,6 to 8 years,1,2,3,2,4,2,5,5,5,5,3,1,3,1,3,5,3,4,3,5,1,3,2,2,4,4
italian-greyhound,Italian Greyhound,companion-dogs,13 to 15 inches tall at the shoulder,6 to 15 pounds,14 to 15 years,5,5,5,1,1,3,5,5,4,4,2,1,5,3,2,2,3,3,4,5,3,3,4,2,4,4
jack-a-poo,Jack-A-Poo,mixed-breeds,10 to 16 inches,13 to 25 pounds,12 to 15 years,4,4,4,2,4,4,5,5,5,4,2,1,2,3,4,2,4,5,4,4,3,4,5,4,5,5
jack-chi,Jack Chi,mixed-breeds,12 to 15 inches,8 to 18 pounds,13 to 18 years,4,2,3,3,2,4,4,5,4,3,2,2,5,4,4,2,2,4,2,4,2,4,4,4,4,5
jack-russell-terrier,Jack Russell Terrier,terriers,10 to 15 inches tall at the shoulder,13 to 17 pounds,10 to 15 years,3,2,3,3,4,3,5,4,5,4,3,1,3,4,4,2,4,5,4,5,4,4,5,5,5,5
jackshund,Jackshund,mixed-breeds,8 to 23 inches,15 to 28 pounds,12 to 15 years,4,2,3,3,3,3,5,4,4,3,3,1,3,3,5,2,3,5,4,5,5,5,4,4,4,5
japanese-chin,Japanese Chin,companion-dogs,8 to 11 inches tall at the shoulder,4 to 9 pounds,10 to 14 years,5,4,3,1,3,2,3,3,3,4,3,1,3,3,3,1,3,3,4,3,3,1,2,1,2,4
japanese-spitz,Japanese Spitz,companion-dogs,10 to 16 inches,11 to 20 pounds,10 to 16 years,4,4,3,2,4,3,4,5,4,2,3,1,4,3,2,2,4,4,2,2,4,2,3,2,3,4
jindo,Korean Jindo Dog,sporting-dogs,19½ to 21 inches for males and 18½ to 20 inches for females,35 - 60 pounds,12 - 15 years,3,2,3,2,5,2,5,3,3,4,5,1,1,4,2,3,2,5,2,5,,5,4,4,5,4
kai-ken,Kai Ken,companion-dogs,17 to 22 inches,25 to 45 pounds,12 to 16 years,2,2,2,3,4,3,4,4,3,2,4,2,2,4,3,3,3,5,2,5,2,3,5,4,5,3
karelian-bear-dog,Karelian Bear Dog,working-dogs,19 to 24 inches,44 to 50 pounds,10 to 13 years,2,1,4,2,5,3,4,3,1,2,3,1,4,4,2,3,2,4,4,5,4,5,4,5,4,4
keeshond,Keeshond,companion-dogs,"1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder",35 to 45 pounds,12 to 15 years,4,4,5,1,5,3,5,5,4,4,5,1,3,3,4,3,4,4,3,3,4,2,4,3,3,5
kerry-blue-terrier,Kerry Blue Terrier,terriers,17 to 19 inches tall at the shoulder,33 to 40 pounds,12 to 15 years,3,2,3,3,4,3,4,4,2,5,1,1,2,3,3,3,4,4,4,3,4,3,4,4,5,4
king-shepherd,King Shepherd,hybrids,25 to 31 inches,75 to 150 pounds,10 to 11 years,4,2,4,2,5,4,4,4,5,4,4,4,4,3,4,5,4,5,3,2,2,3,3,3,4,4
kishu-ken,Kishu Ken,working-dogs,17 to 22 inches,30 to 60 pounds,9 to 13 years,3,2,3,3,5,3,3,3,2,2,4,2,3,4,3,3,4,5,2,4,1,2,3,3,4,2
komondor,Komondor,working-dogs,25 to 27 inches tall at the shoulder,80 to 100 pounds,10 to 12 years,2,1,4,1,4,3,5,3,1,1,3,2,2,2,3,4,4,4,3,2,5,4,2,1,4,4
kooikerhondje,Kooikerhondje,sporting-dogs,14 to 16 inches tall at the shoulder,20 to 25 pounds,12 to 14 years,4,3,4,2,4,3,3,2,2,2,3,1,2,5,3,3,1,4,3,3,3,3,4,5,5,4
kuvasz,Kuvasz,working-dogs,26 to 30 inches tall at the shoulder,70 to 115 pounds,10 to 12 years,1,1,5,1,5,2,5,1,2,1,4,3,4,4,4,5,2,4,1,1,3,3,4,4,5,4
kyi-leo,Kyi-Leo,mixed-breeds,8 to 12 inches,8 to 14 pounds,13 to 15 years,5,4,3,4,5,2,5,5,4,3,2,1,2,3,3,2,3,3,4,1,4,2,4,3,2,4
lab-pointer,Lab Pointer,mixed-breeds,22 to 28 inches,35 to 80 pounds,10 to 15 years,1,4,3,1,4,4,5,4,3,4,2,2,4,4,4,4,5,4,2,4,2,4,5,3,5,4
labernese,Labernese,mixed-breeds,24 to 28 inches,65 to 110 pounds,6 to 12 years,2,4,4,1,4,2,4,5,4,3,4,3,3,2,4,4,3,4,3,3,2,4,4,2,4,5
labmaraner,Labmaraner,mixed-breeds,21 to 24 inches,60 to 100 pounds,10 to 12 years,1,4,4,1,3,3,4,5,4,3,1,2,4,4,4,4,4,4,3,3,3,4,4,3,5,5
labrabull,Labrabull,mixed-breeds,20 to 24 inches,45 to 90 pounds,10 to 14 years,2,2,4,1,3,3,5,5,2,5,5,2,5,3,3,4,5,5,5,3,3,4,5,5,4,5
